========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
            metoprolol  Metoprolol→Metoprolo   +1     211.34     9.670      9.658  0.920   -0.012
              morphine  MorphineH2→MorphineH   +1     206.72     8.210      9.303  0.809   +1.093
              morphine  MorphineH_→Morphine_   +0     216.03     9.510      9.499  1.053   -0.011
      n_acetylcysteine  NAC_anion_→NAC_diani   -1     208.67     9.520      9.447  1.060   -0.073
              naproxen    Naproxen→Naproxena   +0     209.32     4.190      4.663  0.817   +0.473
          n_butylamine   nBuAmmoniu→nBuAmine   +1     207.91    10.770     10.318  0.792   -0.452
        nicotinic_acid  NicotinicH→Nicotinic   +1     199.77     2.050      2.176  0.887   +0.126
        nicotinic_acid  NicotinicH→Nicotinat   +0     205.97     4.790      3.819  0.761   -0.971
         n_propylamine  nPropylamm→nPropylam   +1     214.64    10.530     10.624  1.054   +0.094
             ornithine  H2Orn2plus→HOrnH1plu   +2     195.62     1.710      1.728  1.063   +0.018
           oseltamivir  Oseltamivi→Oseltamiv   +1     206.85     7.750      7.987  0.953   +0.237
           oxalic_acid  OxalicAcid→HydroOxal   +0     199.56     1.250      1.288  0.999   +0.038
           oxalic_acid    HydroOxala→Oxalate   -1     212.28     4.270      4.441  1.040   +0.171
         penicillamine  Penicillam→Penicilla   +0     210.07    10.490     10.048  1.042   -0.442
                phenol      Phenol→Phenoxide   +0     216.32     9.990     10.037  0.890   +0.047
  phenylphosphonic_acid  PhPhonicAc→PhPhonate   +0     203.69     1.830      1.858  0.977   +0.028
  phenylphosphonic_acid  PhPhonate_→PhPhonate   -1     220.57     7.070      7.446  1.019   +0.376
       phosphoric_acid       H3PO4→H2PO4_min   +0     202.32     2.150      1.920  1.003   -0.230
       phosphoric_acid  H2PO4_minu→HPO4_2min   -1     218.53     7.200      7.543  1.004   +0.343
       phosphoric_acid  HPO4_2minu→PO4_3minu   -2     234.70    12.350     12.388  1.064   +0.038
           phthalimide  Phthalimid→Phthalimi   +0     212.20     8.300      8.127  0.976   -0.173
           picric_acid    PicricAcid→Picrate   +0     197.05     0.380      0.438  1.056   +0.058
            piperazine  Piperazine→Piperazin   +2     201.34     5.330      5.405  1.047   +0.075
            piperazine  Piperazine→Piperazin   +1     207.91     9.730     10.094  0.773   +0.364
            piperidine  Piperidini→Piperidin   +1     208.85    11.120     10.531  0.767   -0.589
               proline  ProH2_cati→Pro_zwitt   +1     200.73     1.952      2.137  0.849   +0.185
               proline  Pro_zwitte→Pro_anion   +0     213.56    10.640     10.569  1.010   -0.071
          propanethiol  Propanethi→Propaneth   +0     215.77    10.650     10.729  0.862   +0.079
        propanoic_acid  PropanoicA→Propanoat   +0     210.55     4.874      4.950  0.848   +0.076
           propranolol  Propranolo→Propranol   +1     205.69     9.530      8.853  0.847   -0.677
              pyridine   Pyridinium→Pyridine   +1     202.66     5.230      5.246  0.956   +0.016
           pyrrolidine  Pyrrolidin→Pyrrolidi   +1     209.15    11.270     10.860  0.784   -0.410
               quinine  QuinineH2+→QuinineH+   +2     200.46     4.130      4.182  1.060   +0.052
               quinine     QuinineH+→Quinine   +1     207.72     8.520      9.168  0.826   +0.648
          quinuclidine  Quinuclidi→Quinuclid   +1     209.66    10.950     10.769  1.038   -0.181
            resorcinol  Resorcinol→Resorcino   +0     215.93     9.302      9.990  0.838   +0.688
